Anonymized Message,Arousal
<PERSON> tonight for some improv with <PERSON>.,1
"...... :) ..... :( ..... ,) ..... :P ...... <3 ........:* ........ :D .....:-/ ...... :'( ... :(",1
"copy this to your status and see what people rate you! 1=crazy, 2=i'd marry you, 3=talkative, 4=sarcastic, 5=i miss you, 6=goofy, 7=moody, 8=dumb, 9=mouthy, 10=spoilt, 11=random, 12=hot, 13=funny, 14=fit, 15=amazing, 16=tough, 17=cute, 18=gf/bf type, 19=player, 20=i love you, 21=gorgeous, 22=the best , 23=cool, 24=sweet, 25=intriguing",1
"Realized at about midnight that I have the day off, now what to do with it....",1
I am my sisters keeper.,1
Remember to VOTE. 06/08/2010,1
"The Lord will conquer your enemies when they attack you.  They will attack you from one direction, but they will scatter from you in seven!  Deuteronomy 28:7",1
I like your hips,1
"The presence of a friend is a coversation itself\\""""",1
"97% of teens would cry if they saw Robert Patterson (Edward Cullen from Twilight\) standing on top of a sky scraper about to jump. If you're one of the 3% that would sit there""",1
"Angle of god,  my guardian dear,  To whom God's love commits me here, 	Ever this day be at my side, To light and guard, to rule and guide.  	Amen.",1
is watching her husband zoom pass the window on a small pink quad bike,1
Actually getting engineering..,1
Non-dairy creamer is flammable.,1
wondering which of the 4 movies I hire to watch first        1. The New Daughter (Thriller) - Kevin Costner        2. Crazy Heart (Drama) - Jeff Bridges & Maggie Gyllenhaal        3. The Bounty Hunter (Action) - Jennifer Aniston & Gerard Butler        4. Cirque Du Freak: The Vamipire's Assistant (Family) - Willem Dafoe & Salma Hayek,1
no rain - no rainbow.,1
is addicted to Dragon Age.,1
A Lonely September ÃƒÂ¢Ã¢â€žÂ¢Ã‚Âª,1
So that was fun.....,1
thank you,1
<URL>,1
sometimes people put up walls,1
flying back to bangkok for a shoot...,1
Varsity Athlete,1
What's on your mind?,1
people on my wall  if you read this please name your favourite tractor,1
bed time nite world,1
Bmx starts next week.,1
I'm selfish,1
is wondering if I will ever get a job.....seriously.,1
is bored and many going to start her science project,1
Sigh.....,1
being cooked in this heat,1
"Name:___________ Age:________Birthday:___________Eye color:_________ Nickname:___________ Favorite color:___________ Favorite Drink:________ My best friend:________Post this to your wall and see who all comments,and who knows you best",1
Sleepy,1
"back at home, and back to reality....",1
has anyone taken the history finals?,1
this is how you remind me,1
"In the land of the blinds, One eye man is a king.",1
hi,1
Homework,1
Eating with the famz...,1
Gonna clean out my car today... maybe they will take it as a trade in later this week.. maybe not,1
3hrs  2 go n then im 14,1
think am falling in love with Mauritius ...and its cultural diversity..,1
Checking my salad for messages,1
"can't sleep, again.",1
">,-[)",1
would love to go back to bed.,1
What do you know? The first post I see on MLIA is about Harry Potter. MLIA.,1
hi,1
And the band played Waltzing Matilda...,1
"want to run, run but don't know from where nor to where ,, just run ...   <PERSON>",1
LYL,1
new music,1
ggfdfdfdfdf,1
the third crossroad must be the most difficult.... hold on to the memories or let go to start anew?,1
in need of insects cant bye any yeat,1
How is everybody today?,1
Definitely absolutely doubting the certainty,1
Interesting video for a man with butter fingers.,1
Thank you,1
"10:26, man, iv been up a toltal of 31 hours, im way high an way tierd, talk to meh, he... <URL>",1
phone blowed up today need phone numbers please,1
"Netflix movies that arrived today: Fool's Gold\ and \""Definitely""",1
:'(,1
Insomnia again...I'm too tired to sleep...my head aches....I feel beat up...,1
I love life,1
need to thnk :(,1
just got back from livesAblaze,1
Copy this into your status and see what people rate you. 1:Crazy. 2:I'd Marry You. 3:Talkative. 4:Sarcastic. 5:Lovable. 6:Clubhead. 7:Moody. 8:Dumb. 9: Spoiled. 10:Mouthy. 11:Random. 12:Hot. 13:Funny. 14:Fit. 15:Amazing. 16:Tough. 17:Cute. 18:Bf/Gf Type. 19:Player. 20:The Best. 21:Freak. 22:Quiet. 23:Sexy. 24: Adorable. 25: Annoying. 26: Rude. 27:Boring. 28: Trust-Worthy. 29: Life Saver.,1
You look into the mirror  of Erised.  What do you see?,1
Gain Muscle and Maintain    Bodyfat Level                              Current Weight            Calories            Protein,1
should be looking for a job right now.,1
I have a problem - f(x) = exp(((log(((((a^2) + 1)*((x / (f * 100)).^(2*e))+(b^2)))) - log(((1/(d^2)) - (((a^2) + 1) - 1)))) * (1/(2*e))) + (log(1/c))) * 100,1
"Please put this in your status if you know someone or are related to someone who suffers from stupidity. People need to understand that stupidity is real and should be taken seriously. You could be sitting next to a sufferer right now. There is still no known cure for stupidity, and sympathy does not help. But we can raise awareness. ...93% won't do this because they don't know how to copy and paste",1
I want my girlfriend to be with me right now so we can cuddle,1
english coursework :-(,1
Yes,1
"According to Urbandictionary.com: <PERSON>=1. a person who uses the services of a prostitute          2. a very extremely confusing guy. shows that he has feelings for you sometimes, but then might just randomly stop talking to you at any time. very flirtatious. manwhore. will lead you on. hilarious. full of charisma. you have to love him. boys are jealous of him. girls are jealous of the girl he is flirting with",1
The best thing about me is you...,1
wants out....again.,1
is at her cousin's house,1
sad... just sad..,1
Like         this status & I'll answer it honestly 1. When did I meet you? 2. Do         you mean alot to me? 3.What do I think of you? 4. Have I ever gotten         mad at you? 5. Are you nice or mean? 6. WouldI care if I lost you? 7.         Would I date you? 8. Have I ever had a crush on you? 9. Do I enjoy being         your friend? 10. Do I... miss yo...u? 11. Do I love your hugs? 12. Do I like your smile?,1
i like it on your moms bed,1
02/18/2001 A day all NASCAR fans will remember R.I.P. <PERSON> We will miss you.,1
i need a massage......,1
It's going to be a long day tomorrow....,1
"the wedsite asks what is on my mind. there is nothing on my mind, just in it. silly website",1
Be Who You Are and Say What You Feel Because Those Who Mind Don't Matter and Those Who Matter Don't Mind. -- Dr. Seuss,1
"The weak can never forgive. Forgiveness is the attribute of the strong......\\""""",1
"Cus you thought you'd win, 	but I'd knew you'd lose, 	Honey, I'm flyer than altitude cruise,",1
All this alcohol and no one to drink it with,1
bad trip...,1
<3,1
is now 22 years old...,1
is drinking australian <PERSON>to try how it helps under sleepless,1
H1N1 Visits FAFB...How do you feel about it?,1
i'm sleepy,1
it is raining,1
Midnight In Motion Lyrics Page Complete,1
playing on the mac book.,1
eyelids ....... fight ........ gravity,1
nice day maybe i should do something.........nah,1
Consumed by anger.,1
im so good at sleep i can do it with my eyes closedÃƒÂ¢Ã¢â€šÂ¬Ã…â€™,1
Well i better go. Bye,1
"not yet done with my APE... having lunch with Dadi Jay in Pepper Lunch, EDSA Shangri-la",1
Goodnight.,1
"*insert some witty, funny, and/or bitching about my job status message here*",1
What to do? What to do?,1
is very hungover,1
feels like I woke up in a different apartment...,1
Is drowning in work =(,1
"...,friends make a person how to lived..but love make it something special..both of them are important..but one of them causes pain..sometimes..both of them cause it..T_T",1
now dread free,1
"Everything we hear is an opinion, not a fact. Everything we see is a perspective, not the truth",1
needs a pair of nice heels/boots... hmm,1
"Listening to Judas Priest, drinking Jameson whiskey, and updating facebook.",1
Wow,1
live today,1
gudnyt guys.. gudmurning na rin..,1
Heard blues by the bay from my house... Did a ton of laundry. Did a dump run.. And went to my moms and stacked wood. Now i'm helping fold 10baskets of cloth.,1
My stomach was making the rumblies        <PERSON>     That only hand would satisfy,1
trevwon't go too bed,1
I'll add more later.,1
how fast time passed:-((((((,1
oh so tirrred.. to behave? or not to behave........,1
every one press up up down down left right left right B A enter up down then circles will appear on your facebook page to get them off refresh page,1
ya,1
"<PERSON>, Anthropologist",1
i only want positive news on fb from now on everybody cheer up,1
"There are as many nights as        days, and the one is just as long as the other in the year's course.        Even a happy life cannot be without a measure of darkness, and the word        'happy' would lose its meaning if it were not balanced by sadness..",1
Finished positive-and-negative decimal-to-binary converter. Just realized how simple this is...,1
babysitting<3,1
i wasn't the son my father wanted,1
@Cardiff,1
Busy day tomorrow should probably start my homework,1
can't wait to see daragon carson this saturday,1
I'm getting ready to cook supper. On the menu tonight... Parmesan Crusted Chicken with Fettuccine and Alfredo Sauce.,1
"Let's see who is paying attention. Every single one of you are on my friends list, as a result of a conscious decision. I wanted you there! I am not only glad to count you as friends, but also as family. Let's see who on my friends' list actually pays attention. Copy and paste this as .........your......status.... I'll be watching to see who repost and comments.",1
so does anybody know anything about the haunted house in Alpharetta that will give you 1000 dollars if you make it to the top floor? it's 13 stories,1
"sooo tired, I love my bed",1
Another great ole night at taco bell,1
cs61a blows my mind every week.,1
"There is no instance of a country having benifited from prolonged warfare.\ - Sun Tzu\""""",1
i like it on the kitchen counter,1
Awww Mann...,1
won 20 dollars from a 1 dollar lottery ticket and I plan to use it for food.,1
If the facts don't fit the theory,1
"Anyone who knows someone who has had cancer, should check this documentary out, very interesting. Its called The Beautiful Truth\. 		<URL>""""",1
me sore everywhere T____T,1
..................................................:P,1
crna :),1
2010 blink and you will miss it its flying along time machine anyone.....,1
Getting bored of facebook.............. x_______x,1
not feeling well... @_@,1
R.I.P.<PERSON>,1
Blank,1
Unlimited Rage.,1
Had a really nice day :),1
thanks everyone,1
"In thirty seconds you'll be dead, and I'll blow this place up and be home in time for Corn Flakes.",1
Transfers this week....,1
I like Artest.,1
"the wolves, they howl for my lost soul...",1
Love is the capacity to take care,1
"Aglow from all the possibilities ahead of me. Now, how to make them happen...hmmm...",1
life is beautiful,1
"Imvu(many things to do ,) ) <URL>",1
"is extremely excited, I fly out Dec. 7 at noon.",1
just got my braces put on,1
sleeps better on the cold nights...Algernon doesn't wake up as much...?,1
"Please copy and paste this to your status if you know someone, or have been affected by someone, who needs a smack upside the head. People who need a smack upside the head affect the lives of many. There is still no known cure for someone who deserves a smack upside the head, except a smack upside the head,... but we can raise awareness. Many won't copy and paste this. I did. Will you?",1
"octopus prediction  spain will win the cup\\""""",1
"Men judge generally more by the eye than by the hand, for everyone can see and few can feel. Everyone sees what you appear to be, few really know what you are. -<PERSON>",1
Blah.  I think I have the andromeda strain.,1
i'm soo bored :(,1
p.p.s not for the feint hearted,1
Writing about an idea frees me of it - <PERSON>,1
is waiting for one more week to go by and be back in Murray.,1
On to the next one...,1
Skol Vikings,1
you just killing me inside,1
"really wants to see the movie year one\ - is okay too""",1
has been a subject to a lot of policy routing on the way home due to flooding caused by a heavy rain. Policy routing was implemented by cars with blinking blue lights standing 90 degrees to the direction of the road.,1
"Carriere Woman Faces Federal Tax Charges<PERSON> Accused Of Preparing False Tax Return March 4, 2010 GULFPORT, Miss. <PERSON> County woman is facing federal charges for helping prepare a false tax return for two individuals.<PERSON>, of Carriere, pleaded not guilty Wednesday to one count of aiding and assisting in the preparation of a false 2005 tax return.",1
"274267 Shinobi Shozoku\ set925678 \""Garb of the Great Merchant\"" set437626 \""Armament of Germania\"" set373624 \""Armament of Gaul\"" set\""""",1
"A pessimist sees the difficulty in every opportunity, an optimist sees the oportunity in every difficulty",1
Relationships are like glass. Sometimes its better to lev them broken than try to hurt yourself putting it back together,1
Loving the lord. Had a great time at church. Spirit was really moving. Praising the lord is the best thing ever.,1
ÃƒÂ¢Ã¢â€šÂ¬Ã…â€œYou have indeed in the Messenger of Allah (swt) a beautiful pattern (of conduct)ÃƒÂ¢Ã¢â€šÂ¬Ã‚Â¦ (33:21),1
Today is paintball day time for more pics and pain,1
limpezas day...,1
Well...  birthday is over but vacation starts tomorrow.,1
"registered to vote today. tking wife to do the same tomorrow... oct 8 is the deadline. whatever you beleive, please do this. in a democracy you get the leaders you deserve",1
As usual going to work right now...,1
Nights like this really make me miss the old days in the bluff,1
visited Vanderbilt this weekend. It was interesting and gave me a lot to think about.,1
Trying to clean up my account now.,1
Look at yor future,1
just had the best weekend,1
brb. :),1
how are you,1
Time for anthropology. Talk about fun. Lol,1
still sick...,1
Be anxious for nothing,1
Has the hiccups,1
"Hoping that this training\ doesnt take 3 hours like the chaplain said it would. I hope he doesnt pass out copies of the \""Shack\""....\""""",1
We make a living by what we *get*. We make a life by what we *give*. Something to think about when prioritizing..,1
need to quit making an ass out of mi self,1
brazil :x,1
Boiling pasta,1
Arkham Asylum is far too addicting...,1
so bored,1
<PERSON> on my mind.....,1
"hi,....now say something.",1
i got an itouch,1
"just chillin in detroit ,]",1
So I had to replace my damaged phone with a new one and lost a few more recent phone numbers so if you have my number send me a text with whom you are plz  thank you,1
NEWS24        Oxo are introducing a new white Oxo cube with a red cross in        support         of the England team.  It's called the Laughing Stock        All future England matches have been moved to the Gay Adult        Channel.         Apparently the sight of 11 arseholes getting hammered for 90        minutes         was far too explicit for ITV,1
How is it possible that you make me strong and weak at the same time...,1
blueberry,1
Sick in bed :-(,1
all i want for christmas is a hippopotamus,1
sick of being alone,1
"Facebook game...here's the deal - IF you like me, you need to click LIKE\ to this status...real friends will click they like you""",1
good night.. bye..,1
"Change your Facebook profile picture to a cartoon from your childhood and invite your friends to do the same. Until Monday(Dec.6) there should be no human faces on Facebook, but an invasion of memories. This is for violence against children",1
"A normal person has 1,000 wishes. A MARINE only has one, to come home safe. I know 97% of you won't post this as your status, but the 3% that do are my friends. In honor of someone that died, a wounded warrior, or who is fighting for your freedom, please re-post in there own honor.",1
It's saturday had a horrible friday nite hope today is a better day,1
Done did work.,1
"Of those people who tryed QWOP and if you didnt, try it. Try to beet the score of 45.7 meters",1
does anyone know about the head start program for kids ?,1
"I am asking for your support with American Cancer Society, Relay for Life. My Team's site link has been added here. Just click and assist in anyway that you can. It is a great cause and allows all of us to assist in the fight against cancer.",1
white...,1
"I'm sad I don't have the Mountain network, so I missed my class on tv today.  Anyone tape it?",1
is slightly disturbed..,1
day in my life...,1
"To whomever is trying to call me... sorry, I seem to have lost my phone in a flurry of collaging.",1
I finally get to go back to work :),1
we would get a foot of snow the year i decide to get dish,1
About to get a tan 2 ma.... nobody ever tans with me .....all my girlfriends are scared of the sun i guess///Nothing but Blue ocean n sand 2 ma,1
bored,1
Whats the theme of the cartoon pics?,1
This is my one and only life,1
"wonders who ever cried when listening to a guitar solo, is he the only one?",1
<PERSON>on <PERSON> account messing with her status update. ^.^,1
Finally done doing stock......fun :/,1
"tried to take the kids to take a picture with the neighborhood True Value Santa, but the little ones would not abide.  Still cool to see the path lined with grills instead of the usual fake pine trees and far less stress than the same level of failure that would occur with a mall Santa.",1
home :)),1
I've seen Transformers: Revenge of the Fallen 3 times already,1
if u bored looking through a page full of hundred torrent listning try <URL>,1
is mozambique today,1
I like it on the floor,1
doesn't like it when cursors jump around and you end up typing somewhere you didn't intend to...,1
"Health Care, I will always have health care as all those who were in the military. If one wants health care from the government join the military. When one can see real poverty, one will believe that the U.S. is not in poverty. Every dollar the government prints off and puts into the economy,the need for that dollar... lessons.  Get off you A** and fight for your rights.",1
anybody alive?,1
is sick.,1
so sleepy and tired..... zzzzz,1
Alright breaks over time to get back to work,1
work-work--work,1
i love mcdonalds,1
is seriously sick. :(,1
Bi winning I was banging 7 gram rocks Thats how I roll Thats how I roll,1
this newport taste like a cheeseburger,1
out and about,1
size matters not,1
is gg-ed for the exam nxt week..,1
can't find any better profile pictures than this.,1
comin home on the 10th,1
"Our doubts are traitors  and make us lose the good we oft might win, by fearing to attempt   Shakespeare",1
I need a donkey please and thank you,1
"...Sleight of hand and twist of fate, ... I wait without you. With or without you.....",1
life is nt a bed of roses...............it has been prooved by yesterday................................,1
bed,1
All truth,1
A boy writes a letter to God.Dear God,1
If your life stinks... spray some perfume,1
Chips,1
misses stokes already. camp was way too short,1
"new year, new resolutions",1
had a fun night,1
One spliff a day Keeps the evil away,1
Studying for two test  for Friday. I can  taste all the wine I will drink this weekend as a reward.....,1
11 Days and a Wakeup...,1
Work is lame...,1
Why do people still post statuses in the 3rd person?,1
"I love women <PERSON>, <PERSON>, <PERSON>",1
"Heading home to Jakarta... Senangnya, syalalalala",1
ps the purple thumboxer,1
is home again,1
is back at college.....,1
#ERROR!,1
I wish i had a cookie right now....,1
love love is a verb,1
"Things to do today: 1.Get up, 2.Survive, 3.Go back to bed.",1
"hanging on a line, a dead line.",1
"hi, im dong woo",1
Life is a hard thing to keep up with.,1
thanks for all the b-day wishes,1
is okay about learning more about schizophrenia,1
bleh....mondays,1
<PERSON>,1
"Watching Dance Your Ass Off, they gave each contestant their dream meal\ as their last fatty meal. The black girl's""",1
work is over... for today.,1
"is happy to be home, but needs a drink.",1
full moon time...,1
Teen mom 2 is obnoxious.,1
bout to put one in the air,1
There is an eerie calm that fills the air right before a hurricane hits. That's what school felt like today. It's very strange.,1
Never doubt for a minute that every single one of you are on my friend list as a result of a conscious decision. I am not only glad to count you as friends but also as family! Let's see who in my Friend's List actually pays attention. Copy and repost this in your own bulletin. You can't choose ...family but...... you can choose friends,1
is tired and doesn't want to go to work tomorrow.,1
merf,1
It starting to snow......,1
I are be so tyred... I so be wanting to go to bed earliest.  I are also be missing Bloemfontein and all the friends I has been having... two sleeps and I are be off to my City of Roses...,1
Girls are like Drano...,1
I hope.....,1
<3 **,1
A little boy today: Four,1
i thought i had mono for and entire year one time... turns out i was just really bored,1
The heart is the only broken instrument that works .,1
Rafael Van Der Vaart is keen on joining United.,1
"i am selling a dell computer and printer if anyone is int,  desktop flat screen about 5 years old hardly been used, $150.",1
"Can't even think straight, tomoroow is move-in day.",1
wants a day off of work....,1
We all need to break free from the grip that Satan has on us and don't say he dosen't have a grip on you.,1
"Got my class schedule.	i have my shop and theroy, along with reading strats, english, psychology, inter Alg, biotec/Mic and spanish I",1
Studying... at work...,1
nite all,1
"FACEBOOK EXPERIMENT- if you are reading this, whether we do or don't speak often, post a comment of your first memory of you and me. When you've finished, post this paragraph on your own status; you'll be surprised what people remember about you....",1
I'm gonna have to re-order mw2 from someone else on eBay,1
"Search deep into your mind,        And answers you will find,        Until you meet that special someone,        Then your soul becomes undone,        In the bliss it was so pure,        You could Have dreamed of nothing more,        But then we trek until the end,        To find that on only ourselves can we depend.                How do you like my original poem :P Seriously.........................",1
three wonderful years of fatherhood,1
If you're interested in joining the Soul Society 000 let me know. Thank you.,1
best nap ever.,1
soothing jams penetrating my eardrums.,1
"My  Mommy reach, My Mommy reach, My Mommy reach. I wonder what she bring for me.",1
is tired...very tired...,1
What's on your mind?,1
I miss my best friend......,1
one more final to go,1
I feel like giving and recieving a million hugs. . .,1
down 5Kg.... i blame Ibiza...,1
"...know that having a good time can include learning and growing, and that there is joy in creating and succeeding...",1
Which additude gets you what you want the best? Vinager or honey.,1
bored out of my mind,1
"Firing, bullets, what has happened to bahrain...",1
Making toast at 9:17pm,1
quesadillas (is that even how you spell it),1
Just finished rereading entire Harry Potter series. Not entirely sure now what to do for the next week...,1
so... i finally got a friggin facebook. woo-hoo.,1
a chowdhury.,1
just got done watching fireworks,1
..is at home stayin warm n cozy..btw sims 3 is addictive..,1
excited to see my family .....,1
Back from Vegas...,1
so so bored would love 2 go out,1
j10oreo = my xboxlive gamertag. see you on the frontlines,1
"He stepped down, trying not to look long at her, as if she were the sun, yet he saw her, like the sun, even without looking.",1
"When you become detached mentally from yourself and  concentrate on     helping other people with their difficulties, you will be able to  cope with your own more     effectively. Somehow, the act of self-giving is a personal  power-releasing factor. (the pisces man )",1
You are my first romance..............,1
need *sleep*,1
"Have I found you....Flightless bird, grounded, bleeding or lost you, american mouth...",1
going to school -.-,1
"Wat to do, Wat to do.......",1
just received his favorite email of each semester,1
poo,1
i have 4 tickets to the lancer hockey game on sat,1
When one door closes,1
Missing Sarah from Tuesday,1
needs a copyrighter/translator for a job. Can anyone advise me?,1
Do I look like Shaggy?,1
As the hart panteth after the water brooks,1
I'm a cat.,1
<3,1
please help with barn  raising <URL>,1
starting school next month,1
I got the cops outside and the game on tv what to watch,1
is hurting...,1
All alone. Can't sleep. Thinking too much...,1
not looking forward to this.,1
<URL>,1
[<l:-P],1
fixing to have the best weekend in the world,1
last day of 2009,1
Never give up,1
bored has no life and is want to go do something,1
gudnyt everybody,1
"I've become a huge fan of the delete\ option in the matrix controls for MathCad.  Makes simplifying those pesky Stiffness Matrices a lot faster.  Assuming one deletes the correct rows and columns.\""""",1
New jobs are good.... I guess,1
reading Siddhartha,1
Thanks everyone,1
Watchhin Pregency Pact,1
is making a collage.,1
watching fantacy factory and resting from a long day.,1
Someone remind me to upload a photo or two,1
tune into 87.7 on the radio tomoro to hear mine and aqils show,1
Pink Champagne,1
listen to your heart,1
is in jury duty.,1
Yep...yep.,1
i like your beard,1
Good Morning w/ a head ache.,1
"Here comes the start of every sleepless night...\\""""",1
is not going to make it to horror movie heros to night.,1
"If you love me, comment on this status        If im a good friend, like my status        If you ever had a crush on me, poke me        If you hate me ,message me and tell me why        If you are brave enough, make this your status",1
..life is a fairytale.. the most wonderful fairytale of all.. ^^,1
I hate spam :(,1
Alien Technology,1
And Queen,1
may need a little drink in the Jazz bar,1
is teaching Chito how to skip out of CLE with no remorse...,1
busy in my project...time for end semester...,1
I'm offiicially no longer in beaverton. Good to know you all. No internet now so peace everyone,1
F64 echipament foto-video <URL> by using the above link you will benefit of a 2% discount on all your orders,1
Light headed.,1
I can feel the wind of change...,1
looking for something to do this weekend,1
Blessed with a baby boy today...,1
laper ...,1
is going to bed.......not looking forward to tommorrow,1
Crocs,1
"has 167 friends and hasnt even had a fb for a whole day, kinda tight",1
i wish there was not any snow outside so i could skate,1
Dragonica Bugtrap. _|_,1
":A soul in tension that's learning to fly, Condition grounded but determined to tryCan't keep the eyes from the circling skiesTongue-tied and twisted just an earth-bound misfit.",1
just another day going by,1
Well the birthday's over 5 days sober....,1
waiting,1
wet dogs smell,1
is so sensitive....,1
"approx 300,000 people just bought theyre last beer for the night",1
It is a million times better to have common sense without education than to have education without common sense...ÃƒÂ¢Ã¢â€šÂ¬Ã…â€™,1
today it snowed,1
pp,1
rawr,1
...Whatever you give a woman,1
wants to go back to school,1
got a gun pulled on him last night,1
<URL>,1
Watchin the ACLS. I love baseball.,1
just got some boxes unpacked and is missing ptc,1
Got court tomorrow wish me luck,1
Workin out my faults one at a time.Makin progress,1
agar,1
My jobs are interfering with my Lost addiction.,1
tired..... zzzz....,1
a mustache is a wish your face makes...,1
lbing,1
thinking at charity cup,1
Just sip some crystal with these real ones,1
would like to send a shout out and thanks to his little helper this weekend.,1
around..,1
3 more days,1
got a new # if you want it let me know.,1
Driving to cape may for the weekend now. So bored...,1
"ATTENTION EVERYONE---There's a site called <URL> that's a new online phone book w/personal information: everything from pics you've posted on FB or web, your approx credit score, home value, income, age, etc. You can remove yourself by first searching for yourself on their site to find the URL of your page, then going to the Privacy button on the bottom of their page to remove yourself. Copy & repost",1
is contemplating how to spend his Xbox points...,1
la lingaw.. sleepy na.. work napud ugma. hehehe,1
"<PERSON>       No matter what your party is, this is not the time to point fingers.  This woman and many other people were attacked by a person that should have been out of society.  I have everyone in my prayers to include <PERSON>, and I am a hardcore conservitive.  Remember that this is America and we can all think differently, this should not result in what happened today.  God be with you",1
is fixin' to have a party this halloween.,1
So ive learned that things are weird not a bad  weird but a good weird,1
Someone should make a <PERSON> Facts website to compete against Chuck Norris.,1
A life of wisdom consists of being constantly engaged in letting go,1
"Dogs are fantastic. Chester farts, then gets up and runs out of the room and leaves me to deal with it.",1
TOTP this sat,1
Has Anyone Else Realized That The People On Family Guy Only Have 4 Fingers?,1
: Many of the great achievements of the world were accomplished by tired and discouraged men who kept on working,1
patiently waiting out the days,1
"It's true that we don't know what we've got until we lose it, but it's         also true that we don't know what we've been missing until it arrives.",1
Ok. All done with the beach today. Might do the Promenade tonight or tomorrow.,1
6 hrs until mid night release for black ops.,1
has nothing on her mind.,1
This Iz ReAL,1
Im cool like ****,1
"First day in school with for course taken in six hours and Mass hearing by 5:00 to 6:00 pm then followed by the first talk in singles for christ The Love of God\. I maximized my time to accommodate all my activities""",1
Can someone remind me of what summer feels like again?,1
Black hats sideways white bold LA,1
"Why yes I did slaughter <PERSON> in ping pong, thanks for asking.",1
I bought megaman 10 for my wii.  It's the hardest game ever T^T,1
"20 years ago, on a night just like tonight....road called roller coaster...",1
every Catholic should look-up this Poem. Audrey Assad got her insperation for her single 'For Love Of You from this Poem: As King Fishers Catch Fire -Gerard Manely Hopkins,1
fell in2 a muddy brook,1
"There is a chicken and an egg in bed, chicken has head on pillow and is smoking. Egg rolls over annoyed and saysi guess we answered that question.\\""""",1
Making love with my ego.,1
You rise. You fall. Your down then you rise again. What don't kill ya make ya more strong.,1
"Note to self just because it says \Flammable\"" it doesnt mean its a sugguestion...\"" <PERSON>.\""""",1
" Men marry women with the hope they will never change. Women marry men with the hope they will change. Invariably they are both disappointed.\ <PERSON>\""""",1
What does time mean to you? How would you define it?,1
Stayed up till 4 last night playing overlord raising hell. how i do not know,1
"If a doctor removed you still-living brain moments before you died, and kept it alive with a tank of fluid enriched with blood, and finally transplanted your brain into a patient whose own brain was severely damaged..which home would the patient return to.. yours or theirs?",1
Looking for more team mates please send me an invite,1
Getting ready to go to Graduation.  So prpud of you Jess. We love you,1
